Season,Episode,Month,Year,Description,Rating
1,The One Where Monica Gets a Roommate,Apr 16,1996,"Monica and the gang introduce Rachel to the ""real world"" after she leaves her fiancé at the altar.",8.1
1,The One with the Sonogram at the End,Sep 29,1994,Ross finds out his ex-wife is pregnant. Rachel returns her engagement ring to Barry. Monica becomes stressed when her and Ross's parents come to visit.,7.9
1,The One with the Thumb,Oct 6,1994,Monica becomes irritated when everyone likes her new boyfriend more than she does. Chandler resumes his smoking habit. Phoebe is given $7000 when she finds a thumb in a can of soda.,8.0
1,The One with George Stephanopoulos,Oct 13,1994,"Joey and Chandler take Ross to a hockey game to take his mind off the anniversary of the first time he slept with Carol, while the girls become depressed when they realize they don't have a 'plan'.",7.9
1,The One with the East German Laundry Detergent,Oct 20,1994,"Eager to spend time with Rachel, Ross pretends his washroom is rat-infested so he can join her at the laundromat. Meanwhile, Joey has Monica pose as his girlfriend, and Chandler struggles to break up with his girlfriend.",8.3
1,The One with the Butt,Oct 27,1994,Monica's obsessiveness is put to the test after Rachel cleans the apartment. Joey lands a film role as Al Pacino's butt double. Chandler enjoys a relationship with all of the fun but none of the responsibility.,8.0
1,The One with the Blackout,Nov 3,1994,"When New York suffers from a blackout, Ross tries to tell Rachel that he likes her, and Chandler gets stuck in an ATM vestibule with a model.",8.9
1,The One Where Nana Dies Twice,Nov 10,1994,Monica and Ross mourn the loss of their grandmother. Chandler is shocked to find that people think he is gay.,7.9
1,The One Where Underdog Gets Away,Nov 17,1994,The gang's plans for Thanksgiving go awry after they get locked out of Monica and Rachel's apartment.,8.1
1,The One with the Monkey,Dec 15,1994,The gang make (and break) a pact not to bring dates to their New Years Eve party. Phoebe starts dating a scientist. Ross compensates for his loneliness by getting a monkey.,7.9
1,The One with Mrs. Bing,Jan 5,1995,"Chandler's flamboyant romance-novelist mother comes to visit, and Joey catches her kissing Ross. Meanwhile, Monica and Phoebe fight over a guy in a coma.",8.0
1,The One with the Dozen Lasagnas,Jan 12,1995,Rachel and Paolo's relationship hits a snag when he makes a pass at Phoebe. Ross refuses to find out the sex of his baby until it's born. Chandler and Joey go shopping for a new kitchen table.,8.0
1,The One with the Boobies,Jan 19,1995,Joey finds out his dad has a mistress. Rachel tries to even the score after Chandler inadvertently catches a glimpse of her breasts. Phoebe dates a shrink who analyzes the gang.,8.5
1,The One with the Candy Hearts,Feb 9,1995,"As Valentine's Day approaches; Ross and his date end up at the same restaurant as Carol and Susan, Joey inadvertently sets Chandler up on a blind date with Janice, and the girls burn mementos of their old boyfriends.",8.1
1,The One with the Stoned Guy,Feb 16,1995,"Monica cooks a gourmet meal for a restaurateur who is looking for a new chef, however he arrives at the apartment stoned. Meanwhile, Ross tries to master 'dirty talk'.",8.1
1,The One with Two Parts: Part 1,Feb 23,1995,Phoebe feels neglected when Joey falls for her twin sister. Chandler struggles to fire an attractive co-worker. Ross attends Lamaze classes with Carol and Susan.,8.0
1,The One with Two Parts: Part 2,Feb 23,1995,"Rachel switches identities with Monica so she can use her health insurance. Meanwhile, Ursula continues to come between Phoebe and Joey.",8.3
1,The One with All the Poker,Mar 2,1995,"As Rachel interviews for a new job, the girls take on the guys in a game of poker.",8.7
1,The One Where the Monkey Gets Away,Mar 9,1995,The gang frantically search for Ross's monkey Marcel after Rachel loses him.,7.9
