"ref_magasin";"departement";"departement_commune";"libelle_de_commune";"population";"longitude";"latitude"
1;95;95355;"Magny-en-Vexin";5752;49.15861756403842;1.810393221286614
2;92;92012;"Boulogne-Billancourt";114205;48.836584313752894;2.239135990584618
3;75;75105;"Paris 5e Arrondissement";60938;48.844508659617546;2.349859385560182
4;94;94028;"Créteil";89985;48.78374018359733;2.454635304151828
5;94;94075;"Villecresnes";9598;48.72086924859528;2.531577414388262
6;95;95476;"Osny";16236;49.067658992344654;2.063116784506375
7;75;75120;"Paris 20e Arrondissement";196880;48.86318677744551;2.400819826729021
8;93;93001;"Aubervilliers";76087;48.91217226264496;2.384455137684569
9;93;93070;"Saint-Ouen";47189;48.90980657500511;2.332570422050525
10;77;77067;"Cesson";8572;48.56473465883997;2.595244766625485
11;78;78361;"Mantes-la-Jolie";42969;48.99816653916364;1.693378068205732
12;95;95280;"Goussainville";30996;49.024343017008746;2.466198488664081
13;91;91044;"Ballainvilliers";3795;48.67132408019351;2.289138745020021
14;75;75117;"Paris 17e Arrondissement";169325;48.88733716648682;2.307485559493426
15;75;75116;"Paris 16e Arrondissement";171124;48.86039876035177;2.262099559395783
16;78;78551;"Saint-Germain-en-Laye";40481;48.9407041394034;2.098709293753965
17;91;91226;"Étréchy";6295;48.49248323891555;2.179288481221353
18;91;91552;"Saint-Germain-lès-Arpajon";9338;48.598244460544315;2.2646136849008442
19;77;77131;"Coulommiers";14544;48.81229916560815;3.091243818472797
20;77;77379;"Provins";12301;48.563309331204394;3.28756780085424
21;91;91345;"Longjumeau";21361;48.69004880448162;2.30247056718729
22;95;95539;"Saint-Brice-sous-Forêt";14320;49.0019033624156;2.350306889617568
23;75;75111;"Paris 11e Arrondissement";153202;48.85941549762748;2.378741060237548
24;92;92044;"Levallois-Perret";64253;48.895071672001905;2.28688268126729
25;78;78172;"Conflans-Sainte-Honorine";35380;49.00010078226905;2.099071905203418
26;93;93010;"Bondy";53530;48.9023234526246;2.483727693897052
27;92;92025;"Colombes";85398;48.922517914749285;2.246751606289739
28;95;95424;"Montigny-lès-Cormeilles";19041;48.99380355606279;2.193517930460491
29;77;77276;"Mareuil-lès-Meaux";2194;48.92362262678321;2.869756973061129
30;95;95607;"Taverny";26144;49.02673162025044;2.221160671655872
31;78;78005;"Achères";19626;48.9717990892285;2.09003871823596
32;78;78466;"Orgeval";5855;48.91648873312579;1.969287735725026
33;75;75118;"Paris 18e Arrondissement";202685;48.892735074561706;2.348711933867703
34;92;92004;"Asnières-sur-Seine";82327;48.91535301225585;2.288038466299997
35;95;95555;"Saint-Gratien";20156;48.96897249476292;2.285180034379086
36;91;91347;"Longpont-sur-Orge";6561;48.640455693382464;2.286470610433681
37;92;92036;"Gennevilliers";41364;48.93451905478727;2.293849879731853
38;92;92063;"Rueil-Malmaison";79426;48.86918973711631;2.177340631498934
39;77;77333;"Nemours";12745;48.25960679094909;2.711079930874555
40;77;77284;"Meaux";50755;48.957062566740134;2.900030972449934
41;92;92026;"Courbevoie";87469;48.8984504771444;2.2557058728900268
