"cle_retour_client";"note";"cle_produit";"ref_magasin";"date_achat";"libelle_source";"libelle_categorie";"recommandation"
156732;8;47;47;"2021-08-14";"téléphone";"service après-vente";"1"
156733;7;133;6;"2021-05-12";"téléphone";"livraison";"1"
156734;10;143;69;"2021-06-04";"email";"expérience en magasin";"1"
156735;10;104;47;"2021-12-26";"réseaux sociaux";"drive";""
156736;8;28;54;"2021-07-25";"email";"livraison";"1"
156737;7;89;71;"2021-12-17";"réseaux sociaux";"drive";""
156738;7;48;3;"2021-12-25";"téléphone";"expérience en magasin";"1"
156739;9;7;18;"2021-03-13";"téléphone";"service après-vente";"1"
156740;8;118;76;"2021-11-13";"réseaux sociaux";"expérience en magasin";"1"
156741;7;24;14;"2021-09-16";"téléphone";"expérience en magasin";"1"
156742;8;76;48;"2021-02-11";"téléphone";"service après-vente";"0"
156743;7;94;46;"2021-02-17";"réseaux sociaux";"qualité produit";""
156744;8;32;8;"2021-12-02";"email";"qualité produit";"1"
156745;8;23;18;"2021-10-29";"réseaux sociaux";"qualité produit";""
156746;10;101;6;"2021-11-10";"téléphone";"qualité produit";"1"
156747;10;46;23;"2021-04-04";"réseaux sociaux";"drive";""
156748;8;131;23;"2021-09-18";"réseaux sociaux";"expérience en magasin";""
156749;9;82;64;"2021-10-18";"téléphone";"drive";"1"
156750;7;28;69;"2021-03-04";"email";"drive";"1"
156751;7;36;76;"2021-10-10";"email";"livraison";"1"
156752;10;126;7;"2021-11-11";"email";"qualité produit";"1"
156753;10;82;2;"2021-09-04";"email";"service après-vente";"1"
156754;9;91;63;"2021-09-06";"téléphone";"service après-vente";"1"
156755;8;1;53;"2021-04-24";"réseaux sociaux";"qualité produit";""
156756;7;98;50;"2021-12-03";"réseaux sociaux";"qualité produit";""
156757;10;10;28;"2021-06-30";"téléphone";"drive";"1"
156758;9;23;36;"2021-07-25";"email";"drive";"1"
156759;7;98;25;"2021-08-08";"email";"service après-vente";"1"
156760;8;48;9;"2021-03-20";"email";"service après-vente";"1"
156761;9;96;41;"2021-11-26";"email";"service après-vente";"1"
156762;10;101;59;"2021-03-31";"email";"livraison";"1"
156763;8;47;40;"2021-03-01";"réseaux sociaux";"livraison";""
156764;10;1;48;"2021-07-29";"téléphone";"service après-vente";"1"
156765;7;22;29;"2021-08-11";"réseaux sociaux";"qualité produit";""
156766;7;76;56;"2021-12-18";"réseaux sociaux";"qualité produit";""
156767;7;30;48;"2021-03-22";"téléphone";"livraison";"1"
156768;8;130;80;"2021-12-04";"email";"service après-vente";"0"
156769;8;29;6;"2021-08-07";"téléphone";"service après-vente";"0"
156770;7;16;31;"2021-05-23";"réseaux sociaux";"livraison";""
156771;9;108;7;"2021-09-18";"réseaux sociaux";"qualité produit";""
156772;10;13;70;"2021-04-06";"réseaux sociaux";"qualité produit";""
156773;10;33;4;"2021-02-04";"téléphone";"service après-vente";"1"
156774;9;63;24;"2021-09-04";"réseaux sociaux";"qualité produit";""
156775;7;67;29;"2021-08-03";"téléphone";"qualité produit";"1"
156776;7;112;37;"2021-04-21";"réseaux sociaux";"qualité produit";""
156777;10;116;33;"2021-09-19";"réseaux sociaux";"qualité produit";""
156778;7;21;57;"2021-02-17";"téléphone";"qualité produit";"1"
156779;7;120;35;"2021-08-07";"email";"service après-vente";"1"
156780;7;2;40;"2021-12-20";"email";"qualité produit";"1"
156781;10;84;52;"2021-06-15";"email";"service après-vente";"1"
156782;7;133;1;"2021-12-26";"réseaux sociaux";"expérience en magasin";""
156783;8;71;52;"2021-07-10";"téléphone";"qualité produit";"1"
156784;9;3;30;"2021-10-14";"email";"service après-vente";"1"
156785;8;141;1;"2021-03-16";"réseaux sociaux";"qualité produit";""
156786;10;46;22;"2021-07-20";"réseaux sociaux";"service après-vente";"1"
156787;7;73;1;"2021-01-13";"réseaux sociaux";"service après-vente";""
156788;8;32;5;"2021-11-10";"email";"service après-vente";"1"
156789;7;92;4;"2021-08-28";"téléphone";"livraison";"1"
156790;9;53;55;"2021-12-03";"email";"livraison";"1"
156791;10;38;49;"2021-10-14";"email";"service après-vente";"1"
156792;10;110;26;"2021-03-14";"email";"qualité produit";"1"
156793;7;102;80;"2021-11-28";"email";"qualité produit";"1"
156794;9;38;39;"2021-03-17";"téléphone";"livraison";"1"
